,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-05-01 22:59:59.999,1619901900000,6.37340000,6.52140000,6.32120000,6.32340000,360505.90000000,1619902799999,2312143.60288000,4532,156331.10000000,1004633.74508000,0
2021-05-01 23:14:59.999,1619902800000,6.32340000,6.41610000,6.20230000,6.28010000,576680.70000000,1619903699999,3628612.10626000,5594,236230.40000000,1488117.74032000,0
2021-05-01 23:29:59.999,1619903700000,6.28000000,6.65730000,6.27120000,6.62100000,966971.70000000,1619904599999,6302526.84869000,9317,539291.10000000,3515502.18522000,0
2021-05-01 23:44:59.999,1619904600000,6.61840000,6.62060000,6.35710000,6.37500000,545704.30000000,1619905499999,3541726.74268000,5542,268418.00000000,1744044.97184000,0
2021-05-01 23:59:59.999,1619905500000,6.36750000,6.53000000,6.24900000,6.30900000,356723.10000000,1619906399999,2280632.31222000,4914,198775.40000000,1273405.19997000,0
2021-05-02 00:14:59.999,1619906400000,6.30880000,6.31840000,6.12100000,6.19840000,524051.20000000,1619907299999,3252639.17189000,5476,248641.10000000,1545502.58171000,0
2021-05-02 00:29:59.999,1619907300000,6.19230000,6.33920000,6.18800000,6.27000000,638870.20000000,1619908199999,4010593.69148000,4858,349402.40000000,2192510.00583000,0
2021-05-02 00:44:59.999,1619908200000,6.27000000,6.29990000,6.15000000,6.15130000,259083.60000000,1619909099999,1616966.07051000,3416,118403.50000000,739810.44754000,0
2021-05-02 00:59:59.999,1619909100000,6.17080000,6.18000000,6.11590000,6.11810000,268766.70000000,1619909999999,1654132.25635000,2697,104623.80000000,644373.60883000,0
2021-05-02 01:14:59.999,1619910000000,6.11810000,6.23190000,6.04000000,6.18740000,438213.30000000,1619910899999,2682346.82354000,4346,201901.50000000,1236099.81704000,0
2021-05-02 01:29:59.999,1619910900000,6.18950000,6.32480000,6.15500000,6.26640000,394174.50000000,1619911799999,2467420.16762000,4196,229725.60000000,1437983.49519000,0
2021-05-02 01:44:59.999,1619911800000,6.26730000,6.43060000,6.26230000,6.29990000,537633.20000000,1619912699999,3422126.15666000,5588,328659.40000000,2090585.08771000,0
2021-05-02 01:59:59.999,1619912700000,6.29990000,6.54550000,6.23020000,6.54550000,472266.70000000,1619913599999,3022642.19837000,5534,266422.10000000,1705872.71685000,0
2021-05-02 02:14:59.999,1619913600000,6.53280000,6.87500000,6.49520000,6.82620000,1589692.20000000,1619914499999,10661910.97914000,16272,862081.20000000,5780523.32632000,0
2021-05-02 02:29:59.999,1619914500000,6.82620000,6.98000000,6.62940000,6.78850000,1192904.40000000,1619915399999,8145681.27575000,12655,627548.10000000,4289224.41553000,0
2021-05-02 02:44:59.999,1619915400000,6.77600000,6.95000000,6.65010000,6.72150000,1102180.30000000,1619916299999,7505783.70330000,9439,556532.90000000,3786269.59655000,0
2021-05-02 02:59:59.999,1619916300000,6.73040000,6.88970000,6.61010000,6.79130000,630927.00000000,1619917199999,4261978.61142000,6772,311471.30000000,2105499.07434000,0
2021-05-02 03:14:59.999,1619917200000,6.81320000,6.82530000,6.53000000,6.72070000,572055.60000000,1619918099999,3792963.80339000,6360,216033.80000000,1434377.64522000,0
2021-05-02 03:29:59.999,1619918100000,6.72170000,6.75990000,6.55210000,6.58720000,337715.20000000,1619918999999,2239718.54144000,3619,175889.20000000,1165144.49991000,0
2021-05-02 03:44:59.999,1619919000000,6.58780000,6.66400000,6.37000000,6.44670000,297863.30000000,1619919899999,1945072.76073000,4811,123934.90000000,810738.61283000,0
